U.S. Exports of Crude Oil
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCREXUS2&f=A
17:54:04 GMT+0100 (czas środkowoeuropejski standardowy)
Data source: U.S. Energy Information Administration
Year,U.S. Exports of Crude Oil Thousand Barrels per Day
2023,4058
2022,3576
2021,2963
2020,3206
2019,2982
2018,2048
2017,1158
2016,591
2015,465
2014,351
2013,134
2012,67
2011,47
2010,42
2009,44
2008,29
2007,27
2006,25
2005,32
2004,27
2003,12
2002,9
2001,20
2000,50
1999,118
1998,110
1997,108
1996,110
1995,95
1994,99
1993,98
1992,89
1991,116
1990,109
1989,142
1988,155
1987,151
1986,154
1985,204
1984,181
1983,164
1982,236
1981,228
1980,287
1979,235
1978,158
1977,50
1976,8
1975,6
1974,3
1973,2
1972,1
1971,1
1970,14
1969,4
1968,5
1967,73
1966,4
1965,3
1964,4
1963,5
1962,5
1961,9
1960,8
1959,7
1958,12
1957,138
1956,78
1955,32
1954,37
1953,55
1952,73
1951,78
1950,95
1949,91
1948,109
1947,127
1946,112
1945,90
1944,94
1943,113
1942,93
1941,91
1940,105
1939,197
1938,212
1937,184
1936,137
1935,141
1934,113
1933,100
1932,75
1931,70
1930,65
1929,72
1928,52
1927,43
1926,42
1925,37
1924,50
1923,48
1922,28
1921,24
1920,24
1919,
1918,
1917,
1916,
1915,10
1914,8
1913,13
