U.S. Imports by Country of Origin
https://www.eia.gov/dnav/pet/pet_move_impcus_a2_nus_epc0_im0_mbblpd_a.htm
18:08:20 GMT+0100 (czas &#347;rodkowoeuropejski standardowy)
Data source: U.S. Energy Information Administration
Series Link,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=ESM_EPC0_IM0_NUS-NSS_MBBLD&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMGB2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMIT2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMIZ2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMLY2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMMY2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMNA2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMQA2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSAG2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSAO2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSAR2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSAS2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSBR2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSBX2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSCA2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSCF2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSCG2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSCH2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSCM2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSCO2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSEC2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSEG2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSGT2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSID2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSKU2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSMX2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSNI2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSNL2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSNO2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSPE2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSRQ2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSSA2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSSN2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSSP2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSSW2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSSY2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSTC2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSTD2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSTH2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSUK2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSVE2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSVQ2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSYE2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NAJ_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NAL_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NBA_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NBB_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NBF_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NBH_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NBL_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NBN_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NBO_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NCD_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NCI_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NDA_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NEK_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NEN_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NGG_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NGH_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NGM_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NGV_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NGY_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NIN_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NIR_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NIV_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NKG_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NKZ_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NMR_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NMU_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NNZ_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NPM_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NPP_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NRS_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NSF_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NTS_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NVM_2&f=A
Series Key,ESM_EPC0_IM0_NUS-NSS_MBBLD.A,MCRIMGB2.A,MCRIMIT2.A,MCRIMIZ2.A,MCRIMLY2.A,MCRIMMY2.A,MCRIMNA2.A,MCRIMQA2.A,MCRIMUSAG2.A,MCRIMUSAO2.A,MCRIMUSAR2.A,MCRIMUSAS2.A,MCRIMUSBR2.A,MCRIMUSBX2.A,MCRIMUSCA2.A,MCRIMUSCF2.A,MCRIMUSCG2.A,MCRIMUSCH2.A,MCRIMUSCM2.A,MCRIMUSCO2.A,MCRIMUSEC2.A,MCRIMUSEG2.A,MCRIMUSGT2.A,MCRIMUSID2.A,MCRIMUSKU2.A,MCRIMUSMX2.A,MCRIMUSNI2.A,MCRIMUSNL2.A,MCRIMUSNO2.A,MCRIMUSPE2.A,MCRIMUSRQ2.A,MCRIMUSSA2.A,MCRIMUSSN2.A,MCRIMUSSP2.A,MCRIMUSSW2.A,MCRIMUSSY2.A,MCRIMUSTC2.A,MCRIMUSTD2.A,MCRIMUSTH2.A,MCRIMUSUK2.A,MCRIMUSVE2.A,MCRIMUSVQ2.A,MCRIMUSYE2.A,MCRIM_NUS-NAJ_2.A,MCRIM_NUS-NAL_2.A,MCRIM_NUS-NBA_2.A,MCRIM_NUS-NBB_2.A,MCRIM_NUS-NBF_2.A,MCRIM_NUS-NBH_2.A,MCRIM_NUS-NBL_2.A,MCRIM_NUS-NBN_2.A,MCRIM_NUS-NBO_2.A,MCRIM_NUS-NCD_2.A,MCRIM_NUS-NCI_2.A,MCRIM_NUS-NDA_2.A,MCRIM_NUS-NEK_2.A,MCRIM_NUS-NEN_2.A,MCRIM_NUS-NGG_2.A,MCRIM_NUS-NGH_2.A,MCRIM_NUS-NGM_2.A,MCRIM_NUS-NGV_2.A,MCRIM_NUS-NGY_2.A,MCRIM_NUS-NIN_2.A,MCRIM_NUS-NIR_2.A,MCRIM_NUS-NIV_2.A,MCRIM_NUS-NKG_2.A,MCRIM_NUS-NKZ_2.A,MCRIM_NUS-NMR_2.A,MCRIM_NUS-NMU_2.A,MCRIM_NUS-NNZ_2.A,MCRIM_NUS-NPM_2.A,MCRIM_NUS-NPP_2.A,MCRIM_NUS-NRS_2.A,MCRIM_NUS-NSF_2.A,MCRIM_NUS-NTS_2.A,MCRIM_NUS-NVM_2.A
Year,U.S. Imports from South Sudan of Crude Oil Mbbl/d,U.S. Imports from Gabon of Crude Oil Mbbl/d,U.S. Imports from Italy of Crude Oil Mbbl/d,U.S. Imports from Iraq of Crude Oil Mbbl/d,U.S. Imports from Libya of Crude Oil Mbbl/d,U.S. Imports from Malaysia of Crude Oil Mbbl/d,U.S. Imports from Netherlands Antilles of Crude Oil Mbbl/d,U.S. Imports from Qatar of Crude Oil Mbbl/d,U.S. Imports from Algeria of Crude Oil Mbbl/d,U.S. Imports from Angola of Crude Oil Mbbl/d,U.S. Imports from Argentina of Crude Oil Mbbl/d,U.S. Imports from Australia of Crude Oil Mbbl/d,U.S. Imports from Brazil of Crude Oil Mbbl/d,U.S. Imports from Brunei of Crude Oil Mbbl/d,U.S. Imports from Canada of Crude Oil Mbbl/d,U.S. Imports from Congo (Brazzaville) of Crude Oil Mbbl/d,U.S. Imports from Congo (Kinshasa) of Crude Oil Mbbl/d,U.S. Imports from China of Crude Oil Mbbl/d,U.S. Imports from Cameroon of Crude Oil Mbbl/d,U.S. Imports from Colombia of Crude Oil Mbbl/d,U.S. Imports from Ecuador of Crude Oil Mbbl/d,U.S. Imports from Egypt of Crude Oil Mbbl/d,U.S. Imports from Guatemala of Crude Oil Mbbl/d,U.S. Imports from Indonesia of Crude Oil Mbbl/d,U.S. Imports from Kuwait of Crude Oil Mbbl/d,U.S. Imports from Mexico of Crude Oil Mbbl/d,U.S. Imports from Nigeria of Crude Oil Mbbl/d,U.S. Imports from Netherlands of Crude Oil Mbbl/d,U.S. Imports from Norway of Crude Oil Mbbl/d,U.S. Imports from Peru of Crude Oil Mbbl/d,U.S. Imports from Puerto Rico of Crude Oil Mbbl/d,U.S. Imports from Saudi Arabia of Crude Oil Mbbl/d,U.S. Imports from Singapore of Crude Oil Mbbl/d,U.S. Imports from Spain of Crude Oil Mbbl/d,U.S. Imports from Sweden of Crude Oil Mbbl/d,U.S. Imports from Syria of Crude Oil Mbbl/d,U.S. Imports from United Arab Emirates of Crude Oil Mbbl/d,U.S. Imports from Trinidad and Tobago of Crude Oil Mbbl/d,U.S. Imports from Thailand of Crude Oil Mbbl/d,U.S. Imports from United Kingdom of Crude Oil Mbbl/d,U.S. Imports from Venezuela of Crude Oil Mbbl/d,U.S. Imports from Virgin Islands of Crude Oil Mbbl/d,U.S. Imports from Yemen of Crude Oil Mbbl/d,U.S. Imports from Azerbaijan of Crude Oil Mbbl/d,U.S. Imports from Albania of Crude Oil Mbbl/d,U.S. Imports from Bahrain of Crude Oil Mbbl/d,U.S. Imports from Barbados of Crude Oil Mbbl/d,U.S. Imports from Bahama Islands of Crude Oil Mbbl/d,U.S. Imports from Belize of Crude Oil Mbbl/d,U.S. Imports from Bolivia of Crude Oil Mbbl/d,U.S. Imports from Benin of Crude Oil Mbbl/d,U.S. Imports from Belarus of Crude Oil Mbbl/d,U.S. Imports from Chad of Crude Oil Mbbl/d,U.S. Imports from Chile of Crude Oil Mbbl/d,U.S. Imports from Denmark of Crude Oil Mbbl/d,U.S. Imports from Equatorial Guinea of Crude Oil Mbbl/d,U.S. Imports from Estonia of Crude Oil Mbbl/d,U.S. Imports from Georgia of Crude Oil Mbbl/d,U.S. Imports from Ghana of Crude Oil Mbbl/d,U.S. Imports from Germany of Crude Oil Mbbl/d,U.S. Imports from Guinea of Crude Oil Mbbl/d,U.S. Imports from Guyana of Crude Oil Mbbl/d,U.S. Imports from India of Crude Oil Mbbl/d,U.S. Imports from Iran of Crude Oil Mbbl/d,U.S. Imports from Ivory Coast (Cote d'Ivore) of Crude Oil Mbbl/d,U.S. Imports from Kyrgyzstan of Crude Oil Mbbl/d,U.S. Imports from Kazakhstan of Crude Oil Mbbl/d,U.S. Imports from Mauritania of Crude Oil Mbbl/d,U.S. Imports from Oman of Crude Oil Mbbl/d,U.S. Imports from New Zealand of Crude Oil Mbbl/d,U.S. Imports from Panama of Crude Oil Mbbl/d,U.S. Imports from Papua New Guinea of Crude Oil Mbbl/d,U.S. Imports from Russia of Crude Oil Mbbl/d,U.S. Imports from South Africa of Crude Oil Mbbl/d,U.S. Imports from Tunisia of Crude Oil Mbbl/d,U.S. Imports from Vietnam of Crude Oil Mbbl/d
2023,,,,213,80,,,4,19,32,53,3,185,,3874,8,,,2,202,128,2,2,,21,733,153,1,6,0,,349,,,,,17,37,,38,133,,,,,,,0,,,,,3,,,3,,,38,,,98,,5,1,,32,,,,,,0,,2,1
2022,,2,,244,79,,,,16,43,62,2,145,,3798,5,,,,223,142,,2,3,27,637,94,,19,7,,456,,,,,12,44,,39,,,,,,,,,,,,,,,,,,,56,,,77,,1,,,23,,,,,,20,,2,
2021,,,,152,90,,,,18,32,28,,104,25,3760,,,,4,180,148,,3,,21,583,108,,48,8,,356,,,,,17,39,,41,,,,,,,,,,,,,,,,,,,51,,,76,,6,,,18,,,,,,199,,,
2020,3,,1,176,9,,,,7,28,34,,77,15,3596,5,,,19,248,169,3,4,,21,656,67,,14,6,,498,,,,,5,38,,28,,,,,,,,3,,,,,,,,,,,24,,,27,,,,,17,,,,2,,76,,,2
2019,3,,,331,60,,,,19,33,30,,121,32,3814,15,,,9,318,199,13,7,,45,599,186,1,47,1,,500,,1,,,3,46,,64,81,,,,,,,,1,,,,5,,13,9,,,24,,,,,,,,33,,,,,,134,,,
2018,1,5,1,518,55,2,,,79,90,23,1,126,15,3707,10,,,3,295,176,22,7,40,78,665,175,,53,1,,870,,,,,5,7,1,57,506,,,13,,,0,,1,1,,,20,,7,19,,,11,,,,,,3,,22,,,,,,73,,2,2
2017,,4,,601,57,1,,,66,129,,2,198,1,3446,4,,,,333,207,8,8,38,144,608,309,,37,2,,949,,,,,20,8,3,24,618,,2,7,,,,,,,,,29,,3,12,,,16,,,,,,2,,,3,14,,,2,49,,,6
2016,,1,,419,12,5,,,51,159,12,4,145,,3227,3,,,,442,237,10,7,34,209,582,207,1,35,3,,1099,,,,,11,9,,19,741,,,10,7,,,,,1,,,67,,2,6,,,,,,,,,,,,1,30,,,,38,,,4
