U.S. Imports of Crude Oil
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUS2&f=A
16:26:58 GMT+0100 (czas środkowoeuropejski standardowy)
Data source: U.S. Energy Information Administration
Year,U.S. Imports of Crude Oil Thousand Barrels per Day
2023,6478
2022,6281
2021,6114
2020,5875
2019,6801
2018,7768
2017,7969
2016,7850
2015,7363
2014,7344
2013,7730
2012,8527
2011,8935
2010,9213
2009,9013
2008,9783
2007,10031
2006,10118
2005,10126
2004,10088
2003,9665
2002,9140
2001,9328
2000,9071
1999,8731
1998,8706
1997,8225
1996,7508
1995,7230
1994,7063
1993,6787
1992,6083
1991,5782
1990,5894
1989,5843
1988,5107
1987,4674
1986,4178
1985,3201
1984,3426
1983,3329
1982,3488
1981,4396
1980,5263
1979,6519
1978,6356
1977,6615
1976,5287
1975,4105
1974,3477
1973,3244
1972,2216
1971,1681
1970,1324
1969,1409
1968,1291
1967,1128
1966,1225
1965,1238
1964,1198
1963,1131
1962,1126
1961,1045
1960,1015
1959,965
1958,953
1957,1023
1956,934
1955,782
1954,656
1953,648
1952,573
1951,491
1950,487
1949,421
1948,353
1947,267
1946,236
1945,204
1944,122
1943,38
1942,34
1941,139
1940,117
1939,91
1938,72
1937,75
1936,88
1935,88
1934,97
1933,87
1932,122
1931,129
1930,170
1929,216
1928,218
1927,160
1926,165
1925,169
1924,213
1923,225
1922,349
1921,343
1920,290
1919,
1918,
1917,
1916,
1915,50
1914,46
1913,49
1912,20
1911,5
1910,2
