U.S. Natural Gas Exports and Re-Exports by Country
https://www.eia.gov/dnav/ng/ng_move_expc_s1_a.htm
09:25:02 GMT+0100 (czas &#347;rodkowoeuropejski standardowy)
Data source: U.S. Energy Information Administration
Series Link,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nbg_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nhr_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nth_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nch_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nku_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nm6_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-npm_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nes_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nlh_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nin_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nks_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nsn_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nco_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-ngm_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-ndr_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nfi_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nid_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nbb_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nat_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-ngr_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nrs_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nbe_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-ntc_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nja_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-npk_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nbf_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nmy_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nuk_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nnl_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nfr_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nci_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-neg_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nit_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nbr_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-npo_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-ntw_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nac_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nha_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nmx_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nis_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-ntu_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-njo_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nnu_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-npl_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nsp_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-nrp_mmcfa.htm,https://www.eia.gov/dnav/ng/hist/ngm_epg0_eve_nus-njm_mmcfa.htm
Series Key,NGM_EPG0_EVE_NUS-NBG_MMCF.A,NGM_EPG0_EVE_NUS-NHR_MMCF.A,NGM_EPG0_EVE_NUS-NTH_MMCF.A,NGM_EPG0_EVE_NUS-NCH_MMCF.A,NGM_EPG0_EVE_NUS-NKU_MMCF.A,NGM_EPG0_EVE_NUS-NM6_MMCF.A,NGM_EPG0_EVE_NUS-NPM_MMCF.A,NGM_EPG0_EVE_NUS-NES_MMCF.A,NGM_EPG0_EVE_NUS-NLH_MMCF.A,NGM_EPG0_EVE_NUS-NIN_MMCF.A,NGM_EPG0_EVE_NUS-NKS_MMCF.A,NGM_EPG0_EVE_NUS-NSN_MMCF.A,NGM_EPG0_EVE_NUS-NCO_MMCF.A,NGM_EPG0_EVE_NUS-NGM_MMCF.A,NGM_EPG0_EVE_NUS-NDR_MMCF.A,NGM_EPG0_EVE_NUS-NFI_MMCF.A,NGM_EPG0_EVE_NUS-NID_MMCF.A,NGM_EPG0_EVE_NUS-NBB_MMCF.A,NGM_EPG0_EVE_NUS-NAT_MMCF.A,NGM_EPG0_EVE_NUS-NGR_MMCF.A,NGM_EPG0_EVE_NUS-NRS_MMCF.A,NGM_EPG0_EVE_NUS-NBE_MMCF.A,NGM_EPG0_EVE_NUS-NTC_MMCF.A,NGM_EPG0_EVE_NUS-NJA_MMCF.A,NGM_EPG0_EVE_NUS-NPK_MMCF.A,NGM_EPG0_EVE_NUS-NBF_MMCF.A,NGM_EPG0_EVE_NUS-NMY_MMCF.A,NGM_EPG0_EVE_NUS-NUK_MMCF.A,NGM_EPG0_EVE_NUS-NNL_MMCF.A,NGM_EPG0_EVE_NUS-NFR_MMCF.A,NGM_EPG0_EVE_NUS-NCI_MMCF.A,NGM_EPG0_EVE_NUS-NEG_MMCF.A,NGM_EPG0_EVE_NUS-NIT_MMCF.A,NGM_EPG0_EVE_NUS-NBR_MMCF.A,NGM_EPG0_EVE_NUS-NPO_MMCF.A,NGM_EPG0_EVE_NUS-NTW_MMCF.A,NGM_EPG0_EVE_NUS-NAC_MMCF.A,NGM_EPG0_EVE_NUS-NHA_MMCF.A,NGM_EPG0_EVE_NUS-NMX_MMCF.A,NGM_EPG0_EVE_NUS-NIS_MMCF.A,NGM_EPG0_EVE_NUS-NTU_MMCF.A,NGM_EPG0_EVE_NUS-NJO_MMCF.A,NGM_EPG0_EVE_NUS-NNU_MMCF.A,NGM_EPG0_EVE_NUS-NPL_MMCF.A,NGM_EPG0_EVE_NUS-NSP_MMCF.A,NGM_EPG0_EVE_NUS-NRP_MMCF.A,NGM_EPG0_EVE_NUS-NJM_MMCF.A
Year,U.S. Liquefied Natural Gas Exports by Vessel to Bangladesh MMcf,U.S. Liquefied Natural Gas Exports by Vessel to Croatia MMcf,U.S. Liquefied Natural Gas Exports by Vessel to Thailand MMcf,U.S. Liquefied Natural Gas Exports by Vessel to China MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Kuwait MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Malta MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Panama MMcf,U.S. Liquefied Natural Gas Exports by Vessel to El Salvador MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Lithuania MMcf,Liquefied U.S. Natural Gas Exports by Vessel to India MMcf,Liquefied U.S. Natural Gas Exports by Vessels to South Korea MMcf,Liquefied U.S. Natural Gas Exports by Vessels to Singapore MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Colombia MMcf,U.S. Liquefied Natural Gas Exports by Vessel to Germany MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Dominican Republic MMcf,U.S. Liquefied Natural Gas Exports by Vessel to Finland MMcf,U.S. Liquefied Natural Gas Exports by Vessel to Indonesia MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Barbados MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Argentina MMcf,Liquefied U.S. Natural Gas Exports by Vessels to Greece MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Russia MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Belgium MMcf,Liquefied U.S. Natural Gas Exports by Vessel to United Arab Emirates MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Japan MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Pakistan MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Bahamas MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Mylaysia MMcf,Liquefied U.S. Natural Gas Exports by Vessel to United Kingdom MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Netherlands MMcf,U.S. Liquefied Natural Gas Exports by Vessel to France MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Chile MMcf,Liquefied U.S. Natural Gas Exports by Vessels to Egypt MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Italy MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Brazil MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Portugal MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Taiwan MMcf,U.S. Liquefied Natural Gas Exports by Vessel to Antigua and Barbuda MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Haiti MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Mexico MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Israel MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Turkiye MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Jordan MMcf,U.S. Liquefied Natural Gas Exports by Vessel to Nicaragua MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Poland MMcf,U.S. Liquefied Natural Gas Exports by Vessel to Spain MMcf,U.S. Liquefied Natural Gas Exports by Vessel to Philippines MMcf,Liquefied U.S. Natural Gas Exports by Vessel to Jamaica MMcf
2023,24147,55439,59477,173247,35185,2592,19565,1,55332,164325,275779,23320,32014,204605,73761,38858,3157,11,76921,39426,0,97017,0,310190,3141,499,0,450694,588557,492696,31217,0,197513,38595,73158,104075,47,113,13661,0,156403,3282,0,139635,269202,6823,9048
2022,12663,77286,25988,96659,57018,5273,13759,,77212,122518,292732,22980,5703,7113,50824,329,6579,93,66939,69031,0,80245,0,209220,3074,489,0,464462,378329,571399,30131,0,116034,71998,69583,106738,22,115,3832,0,192067,0,0,127404,426657,,1516
2021,37734,36133,14548,453304,34476,5427,8436,,30919,196218,453483,20918,2247,0,53095,0,3269,297,83449,39708,0,5584,0,354948,45818,486,0,195046,174339,170780,121881,0,34210,307714,65865,99350,8,137,15200,8906,188849,0,1,56320,215062,,25276
2020,10660,3275,32622,214401,17293,2648,12764,,28879,124402,316227,28341,4626,0,26050,0,0,241,15068,48403,0,31946,10110,287672,36934,257,0,160199,85573,90237,80615,0,68453,111826,36922,64363,0,118,34408,15834,123957,6872,0,36900,199966,,17052
2019,3419,0,6635,6851,10308,413,10221,,3455,91481,270025,31440,6518,,10334,,,211,39293,14643,0,23897,20561,200864,26935,156,3698,118357,81361,117791,90357,0,68655,54298,53342,27397,,42,143371,0,30611,32332,,38042,166684,,13892
2018,0,,0,90473,9981,2927,6786,,0,57634,252223,3679,5101,,5835,,,174,27560,3722,0,0,3638,125534,12956,137,0,51297,12188,18291,41186,6554,17390,35645,12512,16731,,0,182246,3270,23205,38794,,3231,10310,,1303
2017,0,,3113,103410,20213,867,0,,6844,20919,130185,0,0,,8691,,,200,16276,0,0,0,13408,53218,3166,2,0,3410,3042,0,25746,6781,6493,17648,19523,9004,,0,140743,0,24855,36321,,3440,29329,,0
2016,,,0,17221,7068,0,,,0,16915,10166,,,,2945,,,100,16661,,0,,3391,11137,0,0,,0,0,,29405,3606,3328,9196,3700,0,,,27470,,8762,9870,,0,2930,,
