U.S. Natural Gas Exports and Re-Exports by Country
https://www.eia.gov/dnav/ng/NG_MOVE_EXPC_S1_A.htm
20:42:19 GMT+0100 (czas &#347;rodkowoeuropejski standardowy)
Data source: U.S. Energy Information Administration
Series Link,https://www.eia.gov/dnav/ng/hist/n9133us2a.htm,https://www.eia.gov/dnav/ng/hist/n9132us2a.htm,https://www.eia.gov/dnav/ng/hist/n9130us2a.htm
Series Key,N9133US2.A,N9132US2.A,N9130US2.A
Year,Liquefied U.S. Natural Gas Exports MMcf,U.S. Natural Gas Pipeline Exports MMcf,U.S. Natural Gas Exports MMcf
2023,4343415,3267651,7611067
2022,3865643,3038257,6903902
2021,3560818,3091580,6652609
2020,2389963,2894329,5284678
2019,1819547,2837848,4657657
2018,1083118,2524501,3607841
2017,707542,2446091,3153804
2016,186841,2148399,2335448
2015,28381,1754918,1783512
2014,16255,1497771,1514242
2013,2924,1569375,1572413
2012,28298,1590531,1618828
2011,70001,1435649,1505650
2010,64793,1071997,1136789
2009,33355,1039002,1072357
2008,39217,924046,963263
2007,48485,773969,822454
2006,60938,663020,723958
2005,65367,663234,728601
2004,62467,791671,854138
2003,66075,613848,679922
2002,63842,452391,516233
2001,66218,307060,373278
2000,66028,177688,243716
1999,63882,99533,163415
1998,65984,93023,159007
1997,62187,94818,157006
1996,67648,85745,153393
1995,65283,88836,154119
1994,62682,99057,161738
1993,55989,84195,140183
1992,52532,163750,216282
1991,54005,75239,129244
1990,52546,33018,85565
1989,51424,55447,106871
1988,51573,22065,73638
1987,48599,5421,54020
1986,50172,11099,61271
1985,52883,2385,55268
1984,,,54753
1983,,,54639
1982,,,51728
1981,,,59372
1980,,,48731
1979,,,55673
1978,,,52532
1977,,,55625
1976,,,64710
1975,,,72675
1974,,,76789
1973,,,77169
