U.S. Natural Gas Imports
https://www.eia.gov/dnav/ng/hist/n9100us2a.htm
20:16:51 GMT+0100 (czas &#347;rodkowoeuropejski standardowy)
Data source: U.S. Energy Information Administration
Year,U.S. Natural Gas Imports  Million Cubic Feet
2023,2929288
2022,3024160
2021,2807961
2020,2551175
2019,2741717
2018,2888847
2017,3033226
2016,3006497
2015,2718094
2014,2695378
2013,2883355
2012,3137789
2011,3468693
2010,3740757
2009,3751360
2008,3984101
2007,4607582
2006,4186281
2005,4341034
2004,4258558
2003,3943749
2002,4015463
2001,3976939
2000,3781603
1999,3585505
1998,3152058
1997,2994173
1996,2937413
1995,2841048
1994,2623839
1993,2350115
1992,2137504
1991,1773313
1990,1532259
1989,1381520
1988,1293812
1987,992532
1986,750449
1985,949715
1984,843060
1983,918407
1982,933336
1981,903949
1980,984767
1979,1253383
1978,965545
1977,1011002
1976,963768
1975,953008
1974,959285
1973,1032903
