U.S. Natural Gas Industrial Consumption
https://www.eia.gov/dnav/ng/hist/n3035us2a.htm
09:53:19 GMT+0100 (czas &#347;rodkowoeuropejski standardowy)
Data source: U.S. Energy Information Administration
Year,U.S. Natural Gas Industrial Consumption  Million Cubic Feet
2023,8536067
2022,8536882
2021,8374672
2020,8212977
2019,8416660
2018,8417300
2017,7943018
2016,7728688
2015,7521903
2014,7646039
2013,7425452
2012,7226215
2011,6994120
2010,6826192
2009,6167371
2008,6670182
2007,6654716
2006,6526546
2005,6601168
2004,7256408
2003,7150396
2002,7527184
2001,7344219
2000,8142240
1999,8079359
1998,8320407
1997,8510879
